OS and Version	Status	Complete Name
iOS 12.3.2	VIDEO_OK	Apple iPhone 8 Plus
iOS 13.3	VIDEO_OK	Apple iPhone 8 Plus
Android 9	VIDEO_OK	Xiaomi Redmi 6
iOS 11.4.1	VIDEO_OK	Apple iPhone
Android 7.1.2	VIDEO_OK	Xiaomi Redmi Y1
Android 9	VIDEO_OK	Samsung SM-A705GM (Galaxy A70)
Android 4.4.4	VIDEO_OK	Huawei Y635-CL00
Windows 7	VIDEO_OK	Google Chrome
Android 8.0.0	VIDEO_FAILURE	Huawei BAH2-W19 (MediaPad M5 Lite 10)
Android 8.1.0	VIDEO_OK	OPPO CPH1851 (R15 Neo)
Windows 7	VIDEO_OK	Google Chrome
macOS 10.13.6	VIDEO_OK	Apple Safari
Android 8.1.0	VIDEO_OK	Vivo 1804 (V11)
iOS 13.3	VIDEO_OK	Apple iPhone
Android 7.1.2	VIDEO_OK	Xiaomi Redmi Y1 Lite
Android 9	VIDEO_OK	Samsung SM-M205F (Galaxy M20)
Android 10	VIDEO_OK	OnePlus A6000 (6)
Android 9	VIDEO_OK	HTC 2Q4D100 (U11+)
Windows 10	VIDEO_OK	Google Chrome
Android 8.1.0	VIDEO_OK	Vivo 1807 (Y95)
Android 7.1.1	VIDEO_OK	Samsung SM-J510H (Galaxy J5 (2016))
iOS 13.3	VIDEO_OK	Apple iPhone
Android 	VIDEO_OK	Opera Mini 5
Android 8.1.0	VIDEO_OK	Xiaomi Redmi Go
Windows 10	VIDEO_OK	Microsoft Edge
Windows 10	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Samsung SM-A705FN (Galaxy A70)
iOS 13.3	VIDEO_OK	Apple iPhone
Android 9	VIDEO_OK	Samsung SM-G955F (Galaxy S8+)
iOS 13.1	VIDEO_OK	Apple iPhone
iOS 12.4.4	VIDEO_OK	Apple iPhone
Android 9	VIDEO_OK	OPPO CPH1938 (A9)
Android 8.0.0	VIDEO_FAILURE	Huawei FIG-LA1 (P smart)
iOS 12.3.1	VIDEO_OK	Apple iPhone 6S
Android 9	VIDEO_OK	Samsung SM-G950F (Galaxy S8)
Android 7.1.1	VIDEO_OK	OPPO A73
iOS 13.1.2	VIDEO_OK	Apple iPhone 6S Plus
Android 6.0.1	VIDEO_OK	Samsung SM-G900I (Galaxy S5)
Android 7.0	VIDEO_OK	Samsung SM-A310F (Galaxy A3)
Windows 10	VIDEO_OK	Google Chrome
Android 6.0.1	VIDEO_OK	Samsung SM-S327VL (Galaxy J3 2017)
iOS 13.2.3	VIDEO_OK	Apple iPhone 8 Plus
Android 7.1.1	VIDEO_OK	OPPO CPH1719 (R11s Dual Sim)
Android 6.0.1	VIDEO_OK	Samsung SM-A500F (Galaxy A5)
Android 10	VIDEO_OK	OnePlus A6003 (6)
Windows 7	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Vivo 1901 (Y15)
Android 9	VIDEO_OK	Asus Z01RD (Zenfone 5)
iOS 13.3	VIDEO_OK	Apple iPhone
Android 5.1.1	VIDEO_OK	OPPO A33f
iOS 12.4.3	VIDEO_OK	Apple iPhone
Android 7.0	VIDEO_OK	Huawei EVA-L19 (P9 Standard Edition)
Linux 	VIDEO_OK	Mozilla Firefox
iOS 10.3.4	VIDEO_OK	Apple iPhone
iOS 10.3.3	VIDEO_OK	Apple iPad
Windows 7	VIDEO_OK	Google Chrome
iOS 13.3	VIDEO_OK	Apple iPhone 7 Plus
Android 9	VIDEO_OK	Samsung SM-J730F (Galaxy J7 Pro)
Intel Mac OS X 	VIDEO_OK	Robot Bot or Crawler
Windows 10	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Motorola Moto G7 Power
Android 7.0	VIDEO_OK	Lenovo ZUK Z2132 (Z2 Plus)
Android 8.1.0	VIDEO_OK	HTC U12 life
Android 9	VIDEO_OK	Samsung SM-G950F (Galaxy S8)
Android 8.1.0	VIDEO_OK	itel A22 Pro
Windows 10	VIDEO_OK	Mozilla Firefox
Android 	VIDEO_OK	Opera Mini 5
Windows 7	VIDEO_OK	Microsoft Internet Explorer
Android 6.0	VIDEO_OK	LG H525n (G4C)
Android 8.1.0	VIDEO_OK	Vivo 1716 (V7 Plus)
Android 5.1	VIDEO_OK	Huawei TIT-AL00 (Enjoy 5)
Android 4.4.2	VIDEO_OK	Samsung GT-N5110 (Galaxy Note 8.0)
iOS 13.3	VIDEO_OK	Apple iPhone
iOS 13.1.3	VIDEO_OK	Apple iPhone XS Max
macOS 10.13.6	VIDEO_OK	Google Chrome
Windows 10	VIDEO_OK	Microsoft Edge
Windows 8.1	VIDEO_OK	Mozilla Firefox
Android 9	VIDEO_OK	Samsung SM-N975F (Galaxy Note10+)
Android 8.1.0	VIDEO_OK	Xiaomi Redmi 6A
Android 9	VIDEO_OK	Xiaomi Redmi Note 6 Pro
Android 9	VIDEO_OK	Realme RMX1827 (3i)
Android 9	VIDEO_OK	OPPO CPH1931 (A5)
Windows 10	VIDEO_OK	Google Chrome
Android 8.0.0	VIDEO_FAILURE	Huawei PRA-LX1 (P8 Lite (2017))
Android 10	VIDEO_OK	Samsung SM-G970F (Galaxy S10e)
Android 9	VIDEO_OK	Xiaomi Redmi Note 7
Android 9	VIDEO_OK	Vivo 1723 (V9)
iOS 13.3	VIDEO_OK	Apple iPhone
iOS 12.4.1	VIDEO_OK	Apple iPhone
Windows 7	VIDEO_OK	Google Chrome
Windows 7	VIDEO_OK	Google Chrome
macOS 10.13.6	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Samsung SM-A530F (Galaxy A8 2018)
iOS 13.3	VIDEO_OK	Apple iPhone
Android 9	VIDEO_OK	Huawei CLT-AL00 (P20 Pro)
iOS 11.4.1	VIDEO_OK	Apple iPhone
Windows 8.1	VIDEO_OK	Google Chrome
iOS 13.1	VIDEO_OK	Apple iPhone X
Android 9	VIDEO_OK	Samsung SM-J810Y (Galaxy J8)
Android 6.0.1	VIDEO_OK	OPPO CPH1613
iOS 12.4.4	VIDEO_OK	Apple iPhone 6 Plus
iOS 13.1.2	VIDEO_OK	Apple iPhone
Windows 7	VIDEO_OK	Google Chrome
Android 5.1.1	VIDEO_OK	Vivo V3
Android 6.0.1	VIDEO_OK	Samsung SM-J500M (Galaxy J5)
iOS 13.2	VIDEO_OK	Apple iPad
Android 9	VIDEO_OK	Samsung SM-A505F (Galaxy A50)
Android 9	VIDEO_OK	Xiaomi Redmi Note 6 Pro
Mac OS X 10.11.6	VIDEO_OK	Apple Safari
Windows 10	VIDEO_OK	Microsoft Internet Explorer
Android 	VIDEO_OK	Opera Mini 5
Android 9	VIDEO_OK	Huawei MAR-LX1A (P30 Lite)
Android 8.1.0	VIDEO_OK	Vivo 1723 (V9)
iOS 11.4.1	VIDEO_OK	Apple iPhone
Android 9	VIDEO_OK	Xiaomi Redmi Note 8 Pro
Android 7.1.2	VIDEO_OK	Xiaomi Redmi 5A
iOS 13.3	VIDEO_OK	Apple iPhone
Android 9	VIDEO_OK	Samsung SM-G970F (Galaxy S10e)
Android 10	VIDEO_OK	OnePlus A6003 (6)
Windows 10	VIDEO_OK	Mozilla Firefox
Android 9	VIDEO_OK	Samsung SM-M307F (Galaxy M30s)
Android 6.0.1	VIDEO_OK	OPPO CPH1607 (R9s)
Windows 10	VIDEO_OK	Google Chrome
macOS 10.15	VIDEO_OK	Apple Safari
macOS 10.13.6	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Huawei FIG-LX1 (P smart)
iOS 13.3	VIDEO_OK	Apple iPhone XS Max
iOS 13.3	VIDEO_OK	Apple iPhone 7 Plus
Android 8.0.0	VIDEO_FAILURE	Samsung SM-A730F (Galaxy A8+)
Android 6.0	VIDEO_OK	Generic Android 6.0
Android 5.1.1	VIDEO_OK	Samsung SM-J320FN (Galaxy J3 Duos)
Android 8.1.0	VIDEO_OK	Huawei DRA-L21 (Y5 (2018))
iOS 13.3	VIDEO_OK	Apple iPhone
Android 9	VIDEO_OK	Samsung SM-A530F (Galaxy A8 2018)
Android 9	VIDEO_OK	Samsung SM-A507FN (Galaxy A50)
macOS 10.15.2	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Huawei COL-L29 (Honor 10)
iOS 13.3	VIDEO_OK	Apple iPhone
Android 5.1	VIDEO_OK	OPPO A1601 (F1s)
Windows 10	VIDEO_OK	Microsoft Edge
Windows 10	VIDEO_OK	Microsoft Edge
Android 7.1.1	VIDEO_OK	OPPO CPH1719 (R11s Dual Sim)
macOS 10.15	VIDEO_OK	Apple Safari
Android 8.0.0	VIDEO_FAILURE	Samsung SM-G950F (Galaxy S8)
iOS 11.2.6	VIDEO_OK	Apple iPad
Android 9	VIDEO_OK	Samsung SM-N9750 (Galaxy Note10+)
Android 6.0.1	VIDEO_OK	Xiaomi Redmi Note 4
iOS 13.3	VIDEO_OK	Apple iPhone 6S
Windows 10	VIDEO_OK	Microsoft Edge
Android 4.4.2	VIDEO_OK	Samsung GT-N7100 (Galaxy Note II)
iOS 12.4.1	VIDEO_OK	Apple iPhone
Windows 10	VIDEO_OK	Google Chrome
iOS 13.3	VIDEO_OK	Apple iPhone
Android 5.1	VIDEO_OK	Medion P1050X
Windows 10	VIDEO_OK	Microsoft Edge
Android 9	VIDEO_OK	Huawei INE-LX2r (NOVA 3I)
Android 6.0.1	VIDEO_OK	Xiaomi Redmi Note 4
Android 7.0	VIDEO_OK	Samsung SM-J730GM (Galaxy J7 Pro)
Android 9	VIDEO_OK	Samsung SM-J730GM (Galaxy J7 Pro)
Android 8.0.0	VIDEO_FAILURE	Asus Z012DA (Zenfone 3 ZE552KL)
Android 4.4.4	VIDEO_OK	Samsung SM-T561 (Galaxy Tab E)
Windows 7	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Samsung SM-A207F (Galaxy A20s)
 	VIDEO_OK	
Android 9	VIDEO_OK	OPPO CPH1931 (A5)
macOS 10.14.6	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Realme RMX1971 (5 Pro)
Android 9	VIDEO_OK	Motorola moto e(6s
Android 10	VIDEO_OK	OnePlus 6010 (6T)
iOS 13.2.3	VIDEO_OK	Apple iPhone
Windows 10	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Sony H3413 (XA2 Plus)
Android 7.1.2	VIDEO_OK	HTC 2Q4R100 (U11 EYEs)
Android 7.1.1	VIDEO_OK	OPPO CPH1827 (A83)
Android 10	VIDEO_OK	Samsung SM-G975F (Galaxy S10+)
iOS 13.3	VIDEO_OK	Apple iPhone
Windows 10	VIDEO_OK	Google Chrome
Android 9	VIDEO_OK	Huawei SNE-LX3 (Mate 20 Lite)
macOS 10.14.6	VIDEO_OK	Apple Safari
iOS 13.3	VIDEO_OK	Apple iPhone XS
Android 6.0.1	VIDEO_OK	Samsung SM-G600FY (Galaxy On7)
Windows 10	VIDEO_OK	Google Chrome
iOS 13.3	VIDEO_OK	Apple iPhone
macOS 10.15	VIDEO_OK	Apple Safari
Windows Vista	VIDEO_OK	Google Chrome
Linux 	VIDEO_OK	Generic SmartTV
Android 5.1.1	VIDEO_OK	Samsung SM-G531H (Galaxy Grand Prime Value Edition)
iOS 13.3	VIDEO_OK	Apple iPhone
Android 9	VIDEO_OK	Samsung SM-G960F (Galaxy S9)
Android 9	VIDEO_OK	Realme RMX1851 (3 Pro)
Windows 10	VIDEO_OK	Google Chrome
Android 7.0	VIDEO_OK	Xiaomi Redmi Note 4
Android 8.0.0	VIDEO_FAILURE	Motorola Moto e5 plus
Android 4.2.2	VIDEO_OK	Samsung GT-S7582 (Galaxy S Duos 2)
iOS 9.3.5	VIDEO_OK	Apple iPad
Windows 10	VIDEO_OK	Google Chrome
Android 7.1.1	VIDEO_OK	Samsung SM-J510F (Galaxy J5 (2016))
Android 9	VIDEO_OK	Nokia 3.2
Android 8.1.0	VIDEO_OK	Huawei DUB-LX3 (Y7 Prime 2019)
Android 9	VIDEO_OK	Samsung SM-J610F (Galaxy J6+)
Android 7.1.2	VIDEO_OK	Xiaomi Redmi 4
Android 9	VIDEO_OK	Samsung SM-J610FN (Galaxy J6+)
Android 9	VIDEO_OK	Samsung SM-N9750 (Galaxy Note10+)
Windows 10	VIDEO_OK	Google Chrome
Windows 7	VIDEO_OK	Google Chrome
iOS 13.3	VIDEO_OK	Apple iPhone
Windows 8.1	VIDEO_OK	Google Chrome
Windows 10	VIDEO_OK	Google Chrome
Windows 7	VIDEO_OK	Google Chrome
Android 8.1.0	VIDEO_OK	ZTE Z557BL (ZFIVE G)
